Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,85%,90%,£12.2m,Man Utd (a),20%,52%,87%,N
De Bruyne,Man City,MID,38%,90%,£12.5m,Man Utd (a),35%,18%,77%,N
Alvarez,Man City,FWD,2%,40%,£6.0m,Man Utd (a),18%,31%,73%,N
Mahrez,Man City,MID,3%,80%,£7.5m,Man Utd (a),22%,24%,71%,N
Kane,Spurs,FWD,32%,90%,£11.6m,Arsenal (H),20%,37%,70%,N
Foden,Man City,MID,15%,40%,£8.2m,Man Utd (a),21%,22%,67%,N
Grealish,Man City,MID,1%,40%,£6.8m,Man Utd (a),25%,15%,64%,N
Fernandes,Man Utd,MID,4%,90%,£9.8m,Man City (H),20%,13%,62%,N
Rashford,Man Utd,MID,41%,90%,£7.0m,Man City (H),14%,23%,62%,N
Zaha,Crystal Palace,MID,12%,90%,£7.3m,Chelsea (a),16%,21%,62%,N
Toney,Brentford,FWD,20%,90%,£7.4m,Bournemouth (H),26%,48%,61%,N
Martial,Man Utd,FWD,5%,70%,£6.6m,Man City (H),17%,17%,60%,N
Antony,Man Utd,MID,4%,90%,£7.4m,Man City (H),16%,18%,59%,N
Son,Spurs,MID,6%,90%,£11.6m,Arsenal (H),22%,21%,59%,N
Bernardo,Man City,MID,7%,90%,£6.8m,Man Utd (a),22%,12%,57%,N
Isak,Newcastle,FWD,1%,10%,£6.6m,Fulham (H),23%,43%,56%,N
Edouard,Crystal Palace,FWD,3%,40%,£5.2m,Chelsea (a),11%,21%,56%,N
Gundogan,Man City,MID,2%,40%,£7.3m,Man Utd (a),17%,12%,55%,N
Garnacho,Man Utd,MID,1%,10%,£4.2m,Man City (H),16%,17%,55%,N
Saint-Maximin,Newcastle,MID,3%,30%,£6.2m,Fulham (H),38%,27%,54%,N
Eriksen,Man Utd,MID,3%,90%,£6.3m,Man City (H),21%,8%,54%,N
Salah,Liverpool,MID,32%,90%,£12.9m,Brighton (a),26%,36%,53%,N
Darwin,Liverpool,FWD,14%,30%,£8.9m,Brighton (a),23%,36%,51%,N
Kulusevski,Spurs,MID,4%,70%,£7.9m,Arsenal (H),22%,17%,51%,N
Wilson,Newcastle,FWD,5%,60%,£7.2m,Fulham (H),14%,43%,51%,N
Olise,Crystal Palace,MID,0%,90%,£5.4m,Chelsea (a),16%,10%,51%,N
Mateta,Crystal Palace,FWD,0%,10%,£5.1m,Chelsea (a),9%,18%,50%,N
Mbeumo,Brentford,FWD,3%,90%,£5.9m,Bournemouth (H),27%,31%,50%,N
Coutinho,Aston Villa,MID,3%,30%,£6.6m,Leeds (H),33%,25%,50%,N
Watkins,Aston Villa,FWD,3%,90%,£7.1m,Leeds (H),23%,33%,49%,N
Wissa,Brentford,MID,0%,80%,£5.3m,Bournemouth (H),23%,32%,48%,N
Gakpo,Liverpool,MID,1%,90%,£8.0m,Brighton (a),23%,32%,48%,N
Elanga,Man Utd,MID,0%,20%,£4.7m,Man City (H),13%,13%,48%,N
Ziyech,Chelsea,MID,0%,80%,£5.5m,Crystal Palace (H),32%,22%,47%,N
Cancelo,Man City,DEF,46%,50%,£7.2m,Man Utd (a),21%,6%,47%,N
Firmino,Liverpool,FWD,3%,30%,£8.0m,Brighton (a),20%,33%,47%,N
Eze,Crystal Palace,MID,3%,90%,£5.6m,Chelsea (a),13%,13%,47%,N
Mount,Chelsea,MID,9%,90%,£7.6m,Crystal Palace (H),28%,26%,47%,N
Ayew,Crystal Palace,MID,0%,80%,£5.3m,Chelsea (a),14%,10%,47%,N
Sterling,Chelsea,MID,5%,20%,£9.7m,Crystal Palace (H),22%,30%,46%,N
Wood,Newcastle,FWD,1%,30%,£5.6m,Fulham (H),12%,38%,46%,N
Buendia,Aston Villa,MID,0%,80%,£5.7m,Leeds (H),29%,23%,46%,N
Ings,Aston Villa,FWD,2%,30%,£6.4m,Leeds (H),18%,33%,46%,N
Perisic,Spurs,DEF,21%,80%,£5.5m,Arsenal (H),20%,10%,45%,N
Aubameyang,Chelsea,FWD,1%,30%,£8.6m,Crystal Palace (H),17%,33%,45%,N
Saka,Arsenal,MID,21%,80%,£8.1m,Spurs (a),26%,25%,45%,N
Lewis-Potter,Brentford,MID,0%,20%,£5.2m,Bournemouth (H),21%,29%,44%,N
Calvert-Lewin,Everton,FWD,0%,70%,£7.9m,Southampton (H),13%,35%,43%,N
Bryan,Spurs,MID,0%,40%,£5.0m,Arsenal (H),17%,13%,43%,N
Martinelli,Arsenal,MID,48%,90%,£6.8m,Spurs (a),22%,26%,43%,N
Vardy,Leicester,FWD,2%,70%,£9.1m,Nott'm Forest (a),17%,31%,43%,N
Bailey,Aston Villa,MID,4%,60%,£4.5m,Leeds (H),23%,25%,43%,N
Canos,Brentford,DEF,0%,10%,£5.0m,Bournemouth (H),29%,18%,42%,N
Barnes,Leicester,MID,2%,90%,£6.8m,Nott'm Forest (a),22%,25%,42%,N
Havertz,Chelsea,FWD,6%,80%,£7.8m,Crystal Palace (H),17%,29%,41%,N
Damsgaard,Brentford,MID,0%,20%,£5.1m,Bournemouth (H),23%,23%,41%,N
Shaw,Man Utd,DEF,16%,90%,£5.1m,Man City (H),18%,4%,41%,N
R.Sessegnon,Spurs,DEF,1%,30%,£4.5m,Arsenal (H),20%,9%,41%,N
Odegaard,Arsenal,MID,24%,90%,£6.7m,Spurs (a),23%,22%,41%,N
Perez,Leicester,MID,0%,40%,£4.7m,Nott'm Forest (a),27%,18%,40%,N
Murphy,Newcastle,MID,3%,20%,£4.3m,Fulham (H),27%,18%,40%,N
Awoniyi,Nott'm Forest,FWD,1%,70%,£5.7m,Leicester (H),16%,29%,40%,N
Carvalho,Liverpool,MID,0%,20%,£5.3m,Brighton (a),19%,26%,40%,N
Rodrigo,Leeds,MID,7%,90%,£6.3m,Aston Villa (a),17%,28%,40%,N
Maupay,Everton,FWD,1%,30%,£6.0m,Southampton (H),13%,31%,40%,N
Gordon,Everton,MID,1%,60%,£5.2m,Southampton (H),20%,25%,40%,N
McNeil,Everton,MID,0%,60%,£5.2m,Southampton (H),26%,18%,40%,N
Daka,Leicester,FWD,1%,30%,£5.7m,Nott'm Forest (a),17%,27%,39%,N
Dennis,Nott'm Forest,FWD,0%,20%,£5.7m,Leicester (H),17%,27%,39%,N
