Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Haaland,Man City,FWD,75%,70%,£11.9m,Aston Villa (a),20%,60%,68%,N
Kane,Spurs,FWD,17%,90%,£11.4m,Fulham (H),22%,50%,61%,N
Salah,Liverpool,MID,53%,90%,£13.0m,Everton (a),25%,45%,59%,N
Son,Spurs,MID,10%,70%,£11.7m,Fulham (H),26%,41%,57%,N
Darwin,Liverpool,FWD,7%,50%,£8.9m,Everton (a),21%,44%,56%,N
De Bruyne,Man City,MID,25%,90%,£12.2m,Aston Villa (a),34%,31%,54%,N
Alvarez,Man City,FWD,2%,60%,£6.2m,Aston Villa (a),20%,42%,54%,N
Toney,Brentford,FWD,16%,90%,£7.1m,Leeds (H),17%,40%,51%,N
Firmino,Liverpool,FWD,4%,50%,£8.0m,Everton (a),20%,36%,50%,N
Mahrez,Man City,MID,2%,60%,£7.7m,Aston Villa (a),25%,31%,48%,N
Luis Diaz,Liverpool,MID,30%,90%,£8.2m,Everton (a),18%,36%,48%,N
Kulusevski,Spurs,MID,14%,70%,£8.2m,Fulham (H),25%,29%,47%,N
Sterling,Chelsea,MID,9%,90%,£10.0m,West Ham (H),20%,33%,47%,N
Richarlison,Spurs,FWD,1%,70%,£8.5m,Fulham (H),16%,36%,47%,N
Carvalho,Liverpool,MID,1%,20%,£5.4m,Everton (a),24%,29%,47%,N
Grealish,Man City,MID,1%,20%,£6.8m,Aston Villa (a),31%,22%,46%,N
Ronaldo,Man Utd,FWD,3%,60%,£10.3m,Arsenal (H),11%,39%,46%,N
Broja,Chelsea,FWD,1%,20%,£5.4m,West Ham (H),16%,35%,45%,N
Mount,Chelsea,MID,4%,90%,£7.7m,West Ham (H),21%,29%,44%,N
Jesus,Arsenal,FWD,80%,90%,£8.2m,Man Utd (a),14%,35%,44%,N
Havertz,Chelsea,FWD,3%,80%,£7.8m,West Ham (H),16%,33%,44%,N
Pulisic,Chelsea,MID,0%,10%,£5.8m,West Ham (H),20%,29%,43%,N
Ziyech,Chelsea,MID,0%,10%,£5.7m,West Ham (H),23%,25%,43%,N
Fernandes,Man Utd,MID,2%,90%,£9.8m,Arsenal (H),20%,28%,42%,N
Undav,Brighton,FWD,0%,20%,£5.2m,Leicester (H),12%,34%,42%,N
Jimenez,Wolves,FWD,1%,80%,£6.9m,Southampton (H),17%,29%,41%,N
Kalajdzic,Wolves,FWD,0%,10%,£5.5m,Southampton (H),14%,31%,41%,N
Foden,Man City,MID,7%,70%,£8.0m,Aston Villa (a),20%,26%,41%,N
Welbeck,Brighton,FWD,2%,70%,£6.5m,Leicester (H),11%,34%,41%,N
Isak,Newcastle,FWD,3%,70%,£7.0m,Crystal Palace (H),14%,31%,41%,N
Antony,Man Utd,MID,1%,20%,£7.5m,Arsenal (H),17%,28%,40%,N
Wissa,Brentford,MID,0%,80%,£5.4m,Leeds (H),16%,29%,40%,N
Gross,Brighton,MID,22%,80%,£5.9m,Leicester (H),26%,18%,40%,N
Bernardo,Man City,MID,11%,70%,£6.9m,Aston Villa (a),24%,20%,39%,N
Awoniyi,Nott'm Forest,FWD,1%,30%,£5.9m,Bournemouth (H),12%,31%,39%,N
Saint-Maximin,Newcastle,MID,8%,60%,£6.5m,Crystal Palace (H),21%,22%,39%,N
Trossard,Brighton,MID,3%,80%,£6.5m,Leicester (H),16%,27%,39%,N
Saka,Arsenal,MID,11%,90%,£7.8m,Man Utd (a),20%,23%,38%,N
Dennis,Nott'm Forest,FWD,0%,40%,£6.0m,Bournemouth (H),13%,29%,38%,N
Gallagher,Chelsea,MID,1%,40%,£5.7m,West Ham (H),20%,22%,38%,N
Mitrovic,Fulham,FWD,23%,90%,£6.8m,Spurs (a),9%,31%,37%,N
Podence,Wolves,MID,1%,20%,£5.5m,Southampton (H),20%,21%,37%,N
Johnson,Nott'm Forest,FWD,2%,60%,£5.9m,Bournemouth (H),14%,27%,37%,N
Guedes,Wolves,MID,1%,80%,£6.0m,Southampton (H),16%,25%,37%,N
Bamford,Leeds,FWD,1%,90%,£7.3m,Brentford (a),12%,29%,37%,N
Nketiah,Arsenal,FWD,0%,20%,£6.7m,Man Utd (a),10%,30%,37%,N
Jones,Liverpool,MID,0%,10%,£4.9m,Everton (a),22%,19%,37%,N
Mbeumo,Brentford,FWD,2%,90%,£6.0m,Leeds (H),18%,23%,37%,N
Vardy,Leicester,FWD,3%,70%,£9.3m,Brighton (a),11%,29%,37%,N
Surridge,Nott'm Forest,FWD,1%,10%,£4.9m,Bournemouth (H),13%,27%,36%,N
Wood,Newcastle,FWD,1%,30%,£5.7m,Crystal Palace (H),7%,31%,36%,N
Adams,Southampton,FWD,1%,60%,£6.4m,Wolves (a),14%,25%,36%,N
